article_number,filename,topic_name,case_number,offsets
0,"""0Albany, NY-AlbanyDemocratHerald-01.txt""",Protester,1,"[[149, 344, ""Brandishing homemade signs and waving at passing  cars, more than 60 people supporting the Occupy Wall Street movement lined up  in downtown Albany late Friday afternoon to deliver their message.""], [345, 417, ""About five counter-demonstrators were also on hand with signs asking for""], [445, 510, ""and occasionally debating with individuals from the larger group.""], [511, 541, ""The demonstration was peaceful""], [712, 774, ""“A lot of people here are retired, or unemployed or students,”""], [1591, 1636, ""By 5 p.m. the crowd had swelled to almost 70.""], [1637, 1822, ""Those at the rally lined up on all four corners of Fourth and Ellsworth showing their signs to passing traffic and pedestrians. Orner said the idea was to demonstrate for about an hour.""]]"
38,"""38Albany, NY-theassociatedpressstatelocalwire-09.txt""",Protester,1,"[[263, 352, ""Dozens of Occupy Albany protesters, young and old, entered New York's Capitol on Thursday""], [397, 524, ""Security guards asked the group to stop chanting while they asked questions and then let them into the building's public space.""], [970, 1056, ""Protester Michael Fisk said more than 50 were headed to Cuomo's office in the Capitol.""]]"
38,"""38Albany, NY-theassociatedpressstatelocalwire-09.txt""",Protester,2,"[[843, 969, ""Some Albany protesters have been camped in a nearby park since Friday, where the initial Occupy Albany demonstration was held.""]]"
202,"""202Albany, NY-TimesUnion-04.txt""",Protester,2,"[[3746, 3908, ""protesters uprooted their last tent and carried it around the city through rush-hour traffic, then returned it to the park across Washington Avenue from the state""], [3909, 3916, ""Capitol""]]"
418,"""418Atlanta-theassociatedpressstatelocalwire-03.txt""",Protester,1,"[[582, 686, ""The demonstrators have been in the park illegally for the past 6 days, in violation of a city ordinance.""]]"
418,"""418Atlanta-theassociatedpressstatelocalwire-03.txt""",Protester,2,"[[1976, 2143, ""The Occupy Atlanta protesters left the park briefly Tuesday to march to the Atlanta headquarters of Bank of America. The group swelled to nearly 200 at the bank plaza.""]]"
476,"""476Atlanta-theatlantajournalconstitution-09.txt""",Protester,1,"[[448, 661, ""As about 150 protesters stood outside the Bank of America on Peachtree Street on Tuesday afternoon, a security guard escorted employees from the building. Scott Brown of Duluth was among the marchers, who say they""], [1217, 1258, ""Police maintained only a low-key presence""]]"
476,"""476Atlanta-theatlantajournalconstitution-09.txt""",Protester,2,"[[741, 923, ""A group of more than 100 calling themselves Occupy Atlanta protesters set up a barricade around their tent city as they gathered in Woodruff Park in Atlanta on Monday, Oct. 10, 2011.""], [4230, 4346, ""Occupy Atlanta, rallying against corporate greed and the war in Afghanistan, set up stakes in the park Friday night.""]]"
557,"""557Atlanta-Copyofwww.myfoxatlanta.com-07.txt""",Protester,1,"[[767, 950, ""the city said they were forced to shutdown a planned hip hop festival. City representatives said the festival did not obtain all the proper permits and could not continue as a result.""]]"
577,"""577Atlanta-Copyofwww.wsbtv.com_occupyatlanta-08.txt""",Protester,1,"[[1711, 1852, ""The group marched Friday evening from the park to a homeless shelter on Peachtree and Pine streets, blocking traffic on the downtown streets.""]]"
