task_id,info_article_article_number,info_article_text.x,info_highlights_0_case_number,info_article_metadata_city,info_article_metadata_date_published
372,0,"Occupy Wall Street supporters gather in Albany                                
November 05, 2011 7:30 am
By Steve Lathrop, Albany Democrat-Herald



Brandishing homemade signs and waving at passing  cars, more than 60 people supporting the Occupy Wall Street movement lined up  in downtown Albany late Friday afternoon to deliver their message.
About five counter-demonstrators were also on hand with signs asking for relief of their tax burden and occasionally debating with individuals from the larger group.
The demonstration was peaceful and larger than Edith Orner, one of the organizers, expected.
“I thought we would get 50 so this is good,” she said.
One of those on hand was Nancy Rose-Chism of Albany.
“A lot of people here are retired, or unemployed or students,” she said, “but I’m not any of those. I wanted to lend my voice to taking back our money and our government.”
Rose-Chism said she was looking for a way to be a part of the growing movement and turned to the Internet.
“I searched for an Occupy Albany site and found this,” she said. “I’m one of the 99 percent.”
So she made her own sign and joined the rally.
According to Orner, many people found out about the demonstration the same way. She said the idea got started among a small group of people who meet once a week. About a week ago they decided to do something in support of the Occupy movements.
“We just said let’s get on that and we put something together as quickly as we could,” Orner said.
That meant placing posters around Albany, and using social networking, emails and the telephone.
It seemed to work. By 5 p.m. the crowd had swelled to almost 70.
Those at the rally lined up on all four corners of Fourth and Ellsworth showing their signs to passing traffic and pedestrians. Orner said the idea was to demonstrate for about an hour.
“Our concern is what’s going on with the economy,” she said. “We don’t want to reduce the deficit on the backs of those who need (the money) most.”
Rose-Chism said she wanted to be part of something that was trying to make things better for the majority of the people.
“I believe this is what most of the people want,” she said.
No plans for additional demonstrations are in the works now, but that could change.
“We may have a follow-up discussion of some sort,” Orner said. “We want to be part of doing what we can for the greater good.”
http://democratherald.com/news/local/occupy-wall-street-supporters-gather-in-albany/article_9cae0258-0743-11e1-bc5f-001cc4c002e0.html",1,Albany,2011-11-05
373,38,"32 of 36 DOCUMENTS
The Associated Press State & Local Wire
October 27, 2011 Thursday 4:59 PM GMT
Occupy Albany protesters move from park to Capitol
BYLINE: By MICHAEL GORMLEY, Associated Press
SECTION: STATE AND REGIONAL
LENGTH: 237 words
DATELINE: ALBANY N.Y.


Dozens of Occupy Albany protesters, young and old, entered New York's Capitol on Thursday demanding a millionaire's tax in the state.
Security guards asked the group to stop chanting while they asked questions and then let them into the building's public space.
The demonstrators have been calling for higher taxes on the wealthy, something opposed by Gov. Andrew Cuomo and the Senate Republican majority. Thursday's rally is part of the nationwide movement blaming Wall Street and the government for economic woes and policies favoring the rich, or about 1 percent of Americans.
Some Albany protesters have been camped in a nearby park since Friday, where the initial Occupy Albany demonstration was held.
Protester Michael Fisk said more than 50 were headed to Cuomo's office in the Capitol. The Albany Law School student said the march is a symbolic effort.
The governor, who was in New York City, had no immediate comment.
""We're not trying to do anything illegal here,"" said Trudy Quaif, 58, a protester from suburban Albany. ""Gov. Cuomo is not paying attention.""
Quaif, who is retired, said the state needs to tax earners of more than $1 million a year at a higher rate to pay for infrastructure improvements and better schools in order to attract more jobs and business.
Signs in the Capitol included ""Cuomo serves the one percent,"" and ""Tax the Rich.""
Once gathered inside, protesters began chanting: ""We are the 99 percent.""
 
LOAD-DATE: October 28, 2011
LANGUAGE: ENGLISH
PUBLICATION-TYPE: Newswire
Copyright 2011 Associated Press
All Rights Reserved",1,Albany,2011-10-27
374,38,"32 of 36 DOCUMENTS
The Associated Press State & Local Wire
October 27, 2011 Thursday 4:59 PM GMT
Occupy Albany protesters move from park to Capitol
BYLINE: By MICHAEL GORMLEY, Associated Press
SECTION: STATE AND REGIONAL
LENGTH: 237 words
DATELINE: ALBANY N.Y.


Dozens of Occupy Albany protesters, young and old, entered New York's Capitol on Thursday demanding a millionaire's tax in the state.
Security guards asked the group to stop chanting while they asked questions and then let them into the building's public space.
The demonstrators have been calling for higher taxes on the wealthy, something opposed by Gov. Andrew Cuomo and the Senate Republican majority. Thursday's rally is part of the nationwide movement blaming Wall Street and the government for economic woes and policies favoring the rich, or about 1 percent of Americans.
Some Albany protesters have been camped in a nearby park since Friday, where the initial Occupy Albany demonstration was held.
Protester Michael Fisk said more than 50 were headed to Cuomo's office in the Capitol. The Albany Law School student said the march is a symbolic effort.
The governor, who was in New York City, had no immediate comment.
""We're not trying to do anything illegal here,"" said Trudy Quaif, 58, a protester from suburban Albany. ""Gov. Cuomo is not paying attention.""
Quaif, who is retired, said the state needs to tax earners of more than $1 million a year at a higher rate to pay for infrastructure improvements and better schools in order to attract more jobs and business.
Signs in the Capitol included ""Cuomo serves the one percent,"" and ""Tax the Rich.""
Once gathered inside, protesters began chanting: ""We are the 99 percent.""
 
LOAD-DATE: October 28, 2011
LANGUAGE: ENGLISH
PUBLICATION-TYPE: Newswire
Copyright 2011 Associated Press
All Rights Reserved",2,Albany,2011-10-27
375,202,"Dismay, hard feelings after confrontation
City leaders defend cops for Occupy Albany actions, but protesters say trust is gone
By JORDAN CARLEO-EVANGELIST, Staff writer
Updated 10:42 pm, Friday, December 23, 2011


ALBANY — On the matted, dead grass of Academy Park — where the lively Occupy Albany camp held court for eight weeks — only disappointment reigned Friday.
Disappointment by protesters still furious over what they say was excessive force wielded a day earlier by a police department whose leader, Chief Steven Krokoff, they had previously viewed as their principled protector.
And disappointment by Krokoff and other top city officials, who criticized the lack of respect shown by demonstrators and lamented having being drawn into the exact sort of physical conflict with the protesters they had sought for two months to avoid.
Krokoff and Mayor Jerry Jennings stridently backed the actions of their officers in the bizarre tug of war Thursday over the encampment's last remaining tent — a scrum that ended with three officers injured and several members of the crowd, including a city councilman, reeling from pepper spray used by one mounted officer.
""Use of that pepper spray most definitely prevented serious injuries — not only to the police officers but to the other people that were in that camp,"" Krokoff said Friday morning, standing shoulder-to-shoulder with Mayor Jerry Jennings. ""I'm proud of each and every member of my police department — as proud as I've ever been of them — for the work that they've done. ...the abuse that they took.""
Richard Gorleski, the officer who used the pepper spray, later confirmed Krokoff's account of the incident, saying he reacted only after protesters reached for the reins and bridle of his horse.
""If I didn't spray a few of those people, someone would have been seriously injured,"" said Gorleski, who is also president of the Albany Police Officers Union. He said officers below him were being rushed by protesters trying to keep police from restraining those clinging to the tent.
Some protesters, however, disputed that account.
Jennings, meanwhile, contrasted the city's decision to send crews of workers into Academy Park to dismantle the two-month-old encampment after its permit expired Thursday with tactics used elsewhere.
""I didn't go in the middle of the night like they did in other cities,"" he said. ""They did show restraint.""
Krokoff's refusal to arrest the protesters after the camp first took root Oct. 21 — paired with District Attorney David Soares ' refusal to prosecute them — only boosted the chief's credibility among progressives who backed his candidacy for the job last year. That he was at the center of its unraveling served as a strange coda to the Occupy Albany encampment.
""I no longer trust Krokoff,"" declared Councilman Anton Konev, a one-time supporter of the chief.
Konev has called for hearings to investigate the use of force and said using some of the city's new beat officers to dismantle the camp may have seriously damaged newly forged relationships with the community.
Councilman Dominick Calsalaro, who said he was grazed by the mist of pepper spray, also criticized the decision to capture the tent but laid the blame with Jennings, not Krokoff, who he said was likely just following orders.
""It was totally against the whole community policing philosophy, and they've destroyed relationships that they've had with the people,"" Calsolaro said. ""Nobody disrespected the police until they came in to take that tent.""
City workers first entered the camp around 2 p.m. Thursday after officials won a court order barring the occupiers from continuing to spend nights there.
But the violence didn't flare until some three hours later, after the protesters uprooted their last tent and carried it around the city through rush-hour traffic, then returned it to the park across Washington Avenue from the state Capitol.
Protesters maintained they had no plans to leave it there. Minutes later, however, about 30 police officers under orders from Krokoff moved in to capture it to prevent them from heading back into the streets.
Mark Mishler an attorney working with the protesters, called that the day's most fateful decision, saying that if the protesters were going to resist, they would have done so hours earlier when they linked arms and surrounded the tent before taking to the streets.
""The group had already essentially made a decision that they weren't going to fight to keep it in the park,"" Mishler said.
The hand-to-hand struggle that ensued — including the use of the pepper spray — was captured on numerous video recordings. Police first said only two protesters were sprayed, but Krokoff later acknowledged more may have been hit.
Four people were arrested, and three police officers suffered minor injuries, Krokoff said, including one who was hospitalized overnight for complications resulting from a back injury.
Soares said his office will review video of the skirmish to decide whether to prosecute those arrested. In a statement, he called the conflict a ""black eye"" for the city. But Jennings put the blame squarely on the protesters.
""I expected cooperation. We didn't get it,"" Jennings said, reiterating that the occupiers are free to return to the park, so long as they leave their camping gear behind. ""We're not going to allow it. We'll take 'em down again.""
Reach Jordan Carleo-Evangelist at 454-5445 or jcarleo-evangelist@timesunion.com. On Twitter: @JCEvangelist_TU.


Read more: http://www.timesunion.com/local/article/Dismay-hard-feelings-after-confrontation-2421993.php#ixzz2VDHRLzDz",2,Albany,2011-12-23
376,418,"9 of 114 DOCUMENTS
The Associated Press State & Local Wire
October 12, 2011 Wednesday 9:44 PM GMT
Protesters can stay in Atlanta park until Monday
BYLINE: By ERRIN HAINES, Associated Press
SECTION: STATE AND REGIONAL
LENGTH: 413 words
DATELINE: ATLANTA


Mayor Kasim Reed will allow Occupy Atlanta protesters to remain in a downtown park until Monday.
Reed issued an executive order Wednesday at 5 p.m. allowing the Occupy Atlanta demonstrators to remain legally in Woodruff Park until the adjournment of the Atlanta City Council meeting on Monday, according to the mayor's office. The demonstrators have been in the park illegally for the past 6 days, in violation of a city ordinance. 
""As mayor, I am proud of the city of Atlanta's heritage as the birthplace of the civil rights movement,"" Reed said in a statement released by his office. ""At the same time, I am committed to protecting the public and ensuring that the laws of the city are respected. I will not allow public safety to be jeopardized in any way by the protesters. So far, all of their actions have been peaceful and nonviolent.""
The situation has created a quandary for city officials and police who have asked them to leave. The city has not enforced the ordinance, allowing the protesters to remain.
Occupy Atlanta spokesman Tim Franzen said he was happy to hear of the executive order, but that they would not be deterred and plan to hold their ground.
""We're in a position right now where we feel like either way, we're doing what we need to do,"" Franzen told The Associated Press in a telephone interview. ""When we get evicted, there will be people who will put their bodies on the line nonviolently and go to jail.""
Franzen said King's legacy has also factored into his strategy, and that the Atlanta protest is different from those in other parts of the country.
""We're in Martin Luther King's backyard,"" he said. ""Our leaders learned decades ago that we can't afford to brutalize protesters here.""
The Occupy Atlanta protesters left the park briefly Tuesday to march to the Atlanta headquarters of Bank of America. The group swelled to nearly 200 at the bank plaza.
The protests are part of a growing national movement opposing corporate greed and other ills. About 50 protesters in Boston were arrested Monday night when they ignored warnings to move from a downtown greenway near where they have been camped out for more than a week, according to police. Several hundred protesters were arrested in New York more than a week ago after police said they ignored warnings to stay in place.
The park closes to the public at 11 p.m. under city law. The code is intended to keep homeless people from sleeping in parks, but has ensnared the otherwise peaceful protesters.


LOAD-DATE: October 13, 2011
LANGUAGE: ENGLISH
PUBLICATION-TYPE: Newswire
Copyright 2011 Associated Press
All Rights Reserved",1,Atlanta,2011-10-12
377,418,"9 of 114 DOCUMENTS
The Associated Press State & Local Wire
October 12, 2011 Wednesday 9:44 PM GMT
Protesters can stay in Atlanta park until Monday
BYLINE: By ERRIN HAINES, Associated Press
SECTION: STATE AND REGIONAL
LENGTH: 413 words
DATELINE: ATLANTA


Mayor Kasim Reed will allow Occupy Atlanta protesters to remain in a downtown park until Monday.
Reed issued an executive order Wednesday at 5 p.m. allowing the Occupy Atlanta demonstrators to remain legally in Woodruff Park until the adjournment of the Atlanta City Council meeting on Monday, according to the mayor's office. The demonstrators have been in the park illegally for the past 6 days, in violation of a city ordinance. 
""As mayor, I am proud of the city of Atlanta's heritage as the birthplace of the civil rights movement,"" Reed said in a statement released by his office. ""At the same time, I am committed to protecting the public and ensuring that the laws of the city are respected. I will not allow public safety to be jeopardized in any way by the protesters. So far, all of their actions have been peaceful and nonviolent.""
The situation has created a quandary for city officials and police who have asked them to leave. The city has not enforced the ordinance, allowing the protesters to remain.
Occupy Atlanta spokesman Tim Franzen said he was happy to hear of the executive order, but that they would not be deterred and plan to hold their ground.
""We're in a position right now where we feel like either way, we're doing what we need to do,"" Franzen told The Associated Press in a telephone interview. ""When we get evicted, there will be people who will put their bodies on the line nonviolently and go to jail.""
Franzen said King's legacy has also factored into his strategy, and that the Atlanta protest is different from those in other parts of the country.
""We're in Martin Luther King's backyard,"" he said. ""Our leaders learned decades ago that we can't afford to brutalize protesters here.""
The Occupy Atlanta protesters left the park briefly Tuesday to march to the Atlanta headquarters of Bank of America. The group swelled to nearly 200 at the bank plaza.
The protests are part of a growing national movement opposing corporate greed and other ills. About 50 protesters in Boston were arrested Monday night when they ignored warnings to move from a downtown greenway near where they have been camped out for more than a week, according to police. Several hundred protesters were arrested in New York more than a week ago after police said they ignored warnings to stay in place.
The park closes to the public at 11 p.m. under city law. The code is intended to keep homeless people from sleeping in parks, but has ensnared the otherwise peaceful protesters.


LOAD-DATE: October 13, 2011
LANGUAGE: ENGLISH
PUBLICATION-TYPE: Newswire
Copyright 2011 Associated Press
All Rights Reserved",2,Atlanta,2011-10-12
378,476,"Atlanta News   12:55 p.m. Wednesday, October 12, 2011
Occupy Atlanta | Protesters vow to stay in park
By Christian Boone and Jeremiah McWilliams
The Atlanta Journal-Constitution


Occupy Atlanta protesters vowed Wednesday to remain in Woodruff Park even under threat of arrest.


Enlarge photo
John Spink, jspink@ajc.com Occupy Atlanta activists continue to occupy Woodruff Park on Wednesday morning.
Enlarge photo
Curtis Compton, ccompton@ajc.com As about 150 protesters stood outside the Bank of America on Peachtree Street on Tuesday afternoon, a security guard escorted employees from the building. Scott Brown of Duluth was among the marchers, who say they are protesting corporate greed.
Enlarge photo
Curtis Compton, ccompton@ajc.com A group of more than 100 calling themselves Occupy Atlanta protesters set up a barricade around their tent city as they gathered in Woodruff Park in Atlanta on Monday, Oct. 10, 2011.




""We will occupy this park at the cost of being arrested and put into jail,"" a spokesman for the group said at an 11 a.m. news conference. ""We will not commit any acts of violence.""
The ""occupation"" was in its sixth day Wednesday with no sign that police were preparing to take any action.
Police maintained only a low-key presence, both at the park and during a late afternoon march to the Midtown offices of the Bank of America, which drew about 50 people from the park and perhaps 100 who joined en route. By 5:30 p.m., the marchers had dispersed, with some heading back to the park trailed by about six police officers on motorcycles.
Robert Derenthal, 21, of Marietta, a student at Kennesaw State, told the AJC Wednesday he had been at the protest since Saturday in the hopes that ""others will start to make their voices known about the abusive practices of Wall Street and investment banking and banking throughout this country ... that people need to start to realize there are reasons why we have such high unemployment in this country, underemployment, why people are being thrown out of their homes, why there has been no recovery and it's time for that frustration to get out into the streets.""
Meanwhile, Mayor Kasim Reed told members of the City Council’s public safety committee that, while the city wants to respect the demonstrators’ right to express their views, they cannot be allowed to camp in the park indefinitely.
“This has got to got to come to a close at some point,” Reed said. “At some point, we have to act.”
Reed said the group calling itself Occupy Atlanta is damaging the public park and violating Atlanta’s laws, and to ignore it opens the door to more law-breaking in the future.
“I do worry that we are setting precedents,” Reed said. Giving exemptions to the law “is creating a real problem for us.”
Committee chair Ivory Lee Young Jr. said he appreciated Reed’s concerns, but he suggested that arresting protesters might be unwise.
“Arrests, at this point, don’t serve any of our purposes,” he told Reed during the meeting.
Reed said his staff had conducted a detailed review of how other cities had dealt with the Occupy Wall Street offshoots, and would be ready to brief the City Council on Wednesday.
Boston police made national headlines Tuesday morning by arresting more than 100 protesters who were attempting to expand their encampment from a park to an adjacent roadway greenbelt. Video showed black-clad officers hauling away protesters who chanted, “We are veterans of the United States of America!” An American flag that had apparently been knocked from the hands of one protester lay on the ground as those nearby chanted, “Shame, shame, shame!”
In Atlanta, meanwhile, a spokesman for Reed said the city will not immediately try to break up the protesters’ encampment, which on Tuesday afternoon numbered about 30 tents. “As long as they’re there peacefully, for the time time being, we’re going to allow them to stay,” said Reese McCranie, the mayor’s deputy director of communications. “That may change in the future or may not change.”
One camper applauded the decision. “I think it’s great,” said Phil Aliff, 25, a student at Kennesaw State University. “I hope they let us stay here indefinitely. Our side can win if we continue to bring people out.”
Occupy Atlanta, rallying against corporate greed and the war in Afghanistan, set up stakes in the park Friday night. The crowd’s size varied through the weekend.
Reed said the protesters have presented him with a list of demands. They want the park renamed for Troy Anthony Davis, the man executed last month for murdering a Savannah police officer. Second, the protesters want Reed to camp with them overnight in the park. Third, they want assurances that they won’t be arrested.
Reed said he was praying about whether he should sleep in the park. But he refused to give assurances that no one would be arrested.
As for renaming Woodruff Park? “That’s not going to happen,” Reed said.
Staff photographer John Spink contributed to this article.",1,Atlanta,2011-10-02
379,476,"Atlanta News   12:55 p.m. Wednesday, October 12, 2011
Occupy Atlanta | Protesters vow to stay in park
By Christian Boone and Jeremiah McWilliams
The Atlanta Journal-Constitution


Occupy Atlanta protesters vowed Wednesday to remain in Woodruff Park even under threat of arrest.


Enlarge photo
John Spink, jspink@ajc.com Occupy Atlanta activists continue to occupy Woodruff Park on Wednesday morning.
Enlarge photo
Curtis Compton, ccompton@ajc.com As about 150 protesters stood outside the Bank of America on Peachtree Street on Tuesday afternoon, a security guard escorted employees from the building. Scott Brown of Duluth was among the marchers, who say they are protesting corporate greed.
Enlarge photo
Curtis Compton, ccompton@ajc.com A group of more than 100 calling themselves Occupy Atlanta protesters set up a barricade around their tent city as they gathered in Woodruff Park in Atlanta on Monday, Oct. 10, 2011.




""We will occupy this park at the cost of being arrested and put into jail,"" a spokesman for the group said at an 11 a.m. news conference. ""We will not commit any acts of violence.""
The ""occupation"" was in its sixth day Wednesday with no sign that police were preparing to take any action.
Police maintained only a low-key presence, both at the park and during a late afternoon march to the Midtown offices of the Bank of America, which drew about 50 people from the park and perhaps 100 who joined en route. By 5:30 p.m., the marchers had dispersed, with some heading back to the park trailed by about six police officers on motorcycles.
Robert Derenthal, 21, of Marietta, a student at Kennesaw State, told the AJC Wednesday he had been at the protest since Saturday in the hopes that ""others will start to make their voices known about the abusive practices of Wall Street and investment banking and banking throughout this country ... that people need to start to realize there are reasons why we have such high unemployment in this country, underemployment, why people are being thrown out of their homes, why there has been no recovery and it's time for that frustration to get out into the streets.""
Meanwhile, Mayor Kasim Reed told members of the City Council’s public safety committee that, while the city wants to respect the demonstrators’ right to express their views, they cannot be allowed to camp in the park indefinitely.
“This has got to got to come to a close at some point,” Reed said. “At some point, we have to act.”
Reed said the group calling itself Occupy Atlanta is damaging the public park and violating Atlanta’s laws, and to ignore it opens the door to more law-breaking in the future.
“I do worry that we are setting precedents,” Reed said. Giving exemptions to the law “is creating a real problem for us.”
Committee chair Ivory Lee Young Jr. said he appreciated Reed’s concerns, but he suggested that arresting protesters might be unwise.
“Arrests, at this point, don’t serve any of our purposes,” he told Reed during the meeting.
Reed said his staff had conducted a detailed review of how other cities had dealt with the Occupy Wall Street offshoots, and would be ready to brief the City Council on Wednesday.
Boston police made national headlines Tuesday morning by arresting more than 100 protesters who were attempting to expand their encampment from a park to an adjacent roadway greenbelt. Video showed black-clad officers hauling away protesters who chanted, “We are veterans of the United States of America!” An American flag that had apparently been knocked from the hands of one protester lay on the ground as those nearby chanted, “Shame, shame, shame!”
In Atlanta, meanwhile, a spokesman for Reed said the city will not immediately try to break up the protesters’ encampment, which on Tuesday afternoon numbered about 30 tents. “As long as they’re there peacefully, for the time time being, we’re going to allow them to stay,” said Reese McCranie, the mayor’s deputy director of communications. “That may change in the future or may not change.”
One camper applauded the decision. “I think it’s great,” said Phil Aliff, 25, a student at Kennesaw State University. “I hope they let us stay here indefinitely. Our side can win if we continue to bring people out.”
Occupy Atlanta, rallying against corporate greed and the war in Afghanistan, set up stakes in the park Friday night. The crowd’s size varied through the weekend.
Reed said the protesters have presented him with a list of demands. They want the park renamed for Troy Anthony Davis, the man executed last month for murdering a Savannah police officer. Second, the protesters want Reed to camp with them overnight in the park. Third, they want assurances that they won’t be arrested.
Reed said he was praying about whether he should sleep in the park. But he refused to give assurances that no one would be arrested.
As for renaming Woodruff Park? “That’s not going to happen,” Reed said.
Staff photographer John Spink contributed to this article.",2,Atlanta,2011-10-02
380,557,"Mayor: Reports Wrong, Occupy Atlanta Can Stay for Now
Posted: Oct 22, 2011 5:14 PM PDT


The mayor’s office is refuting media reports it has issued an ultimatum for members of the Occupy Atlanta to leave Woodruff Park on Saturday evening.
The reports state that the group known as Occupy Atlanta, which has been allowed to stay in Woodruff Park for the past few weeks by way of executive order sign by Mayor Kasim Reed, was now being told to leave the park immediately.
A spokesperson for Mayor Reed called the reports ""dead wrong"" and told FOX 5 in a phone interview around 8 p.m. on Saturday that the orders to allow the protest group to stay in the park still stands.
Despite the claims, there was a noticeable increase in the number of officers in the area after the city said they were forced to shutdown a planned hip hop festival. City representatives said the festival did not obtain all the proper permits and could not continue as a result. They also would not allow the festival to be folded into the executive orders which pertain to Occupy Atlanta.",1,Atlanta,2011-10-22
381,577,"Posted: 5:55 p.m. Friday, Oct. 14, 2011
Mayor working to find Occupy Atlanta solution
ATLANTA — 


Atlanta Mayor Kasim Reed's office says he will determine the next step once his executive order allowing the Occupy Atlanta protestors to stay in Woodruff Park expires Monday night. That order gives demonstrators the ability to remain in the downtown park after 11 p.m.  Under that order, protestors must remove their tents by 5 p.m. Monday and vacate the park by 11 p.m. The office said earlier Friday that the expiration of that order was never meant to be a hard deadline, but added once that time comes, Mayor Reed will reevaluate the situation and make his final determination.
This comes after Occupy Atlanta 's leader, Tim Franzen, told Channel 2's Richard Elliot that they had no plans to leave the park by 11 p.m. Monday.
 ""We will be ready for non-violent civil disobedience,"" said Franzen.  ""We have commitments from specific civil rights leaders to stand here with us, to sit d own and link arms, and to be dragged off and sent to jail if that's what the mayor wants.""
The city hopes to avoid the kind of violent confrontations seen in New York  City where police officers and demonstrators clashed in the streets in full view of cameras.  NYPD officers and New York Mayor Michael Bloomberg came under criticism for their handling of the situation.
Franzen told Elliot he believed Monday was a hard deadline and was determined to remain in the park past it.  Still, he invited Mayor Reed to come down and talk with the demonstrators.
""We'd love to have his support,"" he said.  ""We'd love to have his endorsement.  We think the voices that we're trying to lift up are the voices of his constituents.""
The group marched Friday evening from the park to a homeless shelter on Peachtree and Pine streets, blocking traffic on the downtown streets.
Some of Occupy Atlanta 's neighbors are also growing frustrated with the demonstrations, and told Elliot they would like to see the city move in and shut them down.
 ""It's really annoying,"" said Katelyn Caccavale, who lives across the street from Woodruff Park.  ""Our walls are paper thin, so every night, we hear them screaming and yelling and banging their bongos.""
 Maryam Ahmed works downtown and said she supports the protests and the mayor's decision not to move in.
 ""I'm glad they're out here,"" she said.  "" I believe in the movement all across America.""
 No word when the mayor will make a decision whether to extend that executive order to allow the protestors to remain.
As Occupy Atlanta 's occupation of Woodruff Park enters its second week, no one is exactly sure how much the demonstrations are costing Atlanta's taxpayers, though APD admits it is costing something.
In an emailed received by Elliot, Atlanta Police spokesman Carlos Campos said it was just too early to tell the exact expenditures.  But he confirmed it is costing taxpayers some money.
""There is no question that providing police presence to properly ensure public safety surrounding the Occupy Atlanta movement requires an increased expenditure of resources and funding,"" said Campos.
But Campos went on to say Atlanta Police are well equipped to handle this demonstration, because it has a lot of experience handling large scale events.
""The Atlanta Police Department routinely handles large-scale events, much larger in fact, than these protests,"" he said.
""On any given weekend, there are hundreds of thousands of people in the city of Atlanta for professional and collegiate sports, trade shows, conventions, festivals, and cultural and artistic events.  Before any event that requires additional APD presence, the department evaluates the resources required for the event and for city-wide coverage.  The department is performing this same evaluation regarding Occupy Atlanta and planning ahead for the indefinite duration of the protest.""
 Campos also ensured that APD will continue to provide for public safety across the rest of the city.",1,Atlanta,2011-10-14
